@relation fire.detection

@attribute Red numeric
@attribute Green numeric
@attribute Blue numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Class {TRUE, FALSE}

@data
%Estoy en: /projects/examen/src/../src/no/100127121532_1_900x600.jpg
1730.072510,2362.218750,2870.118164,6.749532,4.711048,11.264121,FALSE
1523.389404,2180.040527,2776.586914,6.948010,5.340942,10.889281,FALSE
1609.012451,2199.831299,2741.578857,6.972280,4.839579,10.754028,FALSE
1515.776245,2111.403076,2651.499268,6.909699,5.128139,10.399234,FALSE
1686.906250,2284.351318,2859.084473,6.631417,4.914364,11.219604,FALSE
1959.475586,2206.917480,2288.277588,5.639517,1.820850,9.116812,FALSE
2019.255615,2222.948242,2306.646240,5.777434,1.574933,9.142318,FALSE
1827.123169,2076.611816,2211.593750,6.298882,2.098344,8.723978,FALSE
1484.076904,1803.535034,2007.206299,6.592101,3.189822,7.895726,FALSE
1598.681274,1885.755615,2052.180664,5.941354,2.964911,8.107319,FALSE
1452.956909,1508.676880,1258.333130,3.090792,2.627781,6.030617,FALSE
1422.915039,1399.156860,1219.738159,2.423148,2.238518,5.708209,FALSE
1628.639404,1646.393066,1428.106201,2.736339,1.916163,6.536547,FALSE
1298.030640,1400.318726,1243.736206,4.151805,2.495848,5.624359,FALSE
1541.000000,1625.521240,1537.143066,5.018054,1.585027,6.480178,FALSE
1274.041260,1380.046875,867.360596,2.423255,4.794732,5.421988,FALSE
1130.803711,1233.766846,773.559387,2.436438,4.747027,4.852810,FALSE
832.371277,915.472473,646.846252,2.895650,4.434666,3.700441,FALSE
934.933105,998.151855,844.835632,3.585270,3.417939,4.040766,FALSE
1021.168762,1136.513184,902.916260,3.708275,3.355934,4.483186,FALSE
1384.618164,1390.346924,996.299988,2.039433,4.235682,5.706271,FALSE
1187.325684,1258.345581,814.242493,2.309303,4.795179,4.956104,FALSE
854.030640,932.785645,633.456848,2.646546,4.536200,3.690183,FALSE
548.608154,694.428772,454.757507,3.242041,4.820686,2.727799,FALSE
420.779388,571.590027,385.256866,3.787938,4.760403,2.246308,FALSE
%Estoy en: /projects/examen/src/../src/no/100224132735_1_900x600.jpg
1027.462524,1082.390625,944.448120,4.150105,2.214447,4.310449,FALSE
1330.287476,1311.574951,1276.184326,3.495959,1.865362,5.491616,FALSE
1962.635010,2145.907471,2333.468750,7.134336,1.986322,9.157389,FALSE
1808.971191,1958.855591,2065.019287,6.992776,1.675274,8.116693,FALSE
1607.711914,1759.087524,1827.409424,6.573120,1.746901,7.213316,FALSE
958.771851,995.683777,929.173767,4.821628,2.350214,4.056065,FALSE
1229.796265,1231.230591,1249.881226,5.039732,1.452267,5.136976,FALSE
1579.489990,1706.489990,1865.829956,6.876989,1.952031,7.375793,FALSE
1218.077515,1254.956299,1314.381226,6.283845,1.556498,5.297413,FALSE
987.008118,997.619385,1018.523743,6.290926,1.169550,4.095351,FALSE
957.766235,931.166260,843.148132,3.514130,1.996368,3.832779,FALSE
1073.910034,1027.060059,941.956848,2.279304,1.864072,4.270433,FALSE
